"SampleID","Year","Region","Site","Tissue","Replicate","meanCq","meanSQ","countRep","leaf_mass","cells_per_uL","dilute_cells_in_extraction","total_cells_in_extraction","cells_per_g","cells_per_mg","Result"
"2020_SD_A_G_8",2020,"SD","A","G","8",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_SD_A_G_9",2020,"SD","A","G","9",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_SD_A_L_10",2020,"SD","A","L","10",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_SD_A_L_8",2020,"SD","A","L","8",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_SD_A_L_9",2020,"SD","A","L","9",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_WA_A_L_1",2020,"WA","A","L","1",30.7607583015405,1.617475834636,1,0.0048,0.808737917318,80.8737917318,808.737917318,168487.066107917,168.487066107917,"Positive"
"2020_WA_A_L_10",2020,"WA","A","L","10",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_WA_A_L_12",2020,"WA","A","L","12",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_WA_A_L_13",2020,"WA","A","L","13",29.3334221579942,4.65324403420488,1,0.0085,2.32662201710244,232.662201710244,2326.62201710244,273720.237306169,273.720237306169,"Positive"
"2020_WA_A_L_14",2020,"WA","A","L","14",28.8147646525627,6.83500531621604,1,0.0048,3.41750265810802,341.750265810802,3417.50265810802,711979.720439171,711.979720439171,"Positive"
"2020_WA_A_L_15",2020,"WA","A","L","15",28.1943072792457,10.8272036356564,1,0.0103,5.4136018178282,541.36018178282,5413.6018178282,525592.409497883,525.592409497883,"Positive"
"2020_WA_A_L_2",2020,"WA","A","L","2",31.9157415138208,0.690556355251274,1,0.0064,0.345278177625637,34.5278177625637,345.278177625637,53949.7152540058,53.9497152540058,"Positive"
"2020_WA_A_L_4",2020,"WA","A","L","4",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_WA_A_L_5",2020,"WA","A","L","5",0,0,1,NA,0,0,0,NA,0,"Negative"
